11/05 10:59:40 [DEBUG] [25572] [COMPS.Data.SerializableEntity] OutputFileMetadata --> {'Id': '_internal_id', 'Length': 'length', 'FriendlyName': 'friendly_name', 'PathFromRoot': 'path_from_root', 'Url': 'url', 'MimeType': 'mime_type'}
11/05 10:59:40 [DEBUG] [25572] [COMPS.Data.SerializableEntity] AssetFile --> {'FileName': 'file_name', 'MD5Checksum': 'md5_checksum', 'Length': 'length', 'Uri': 'uri'}
11/05 10:59:40 [DEBUG] [25572] [COMPS.Data.SerializableEntity] AssetCollectionFile --> {'RelativePath': 'relative_path', 'Tags': 'tags', 'FileName': 'file_name', 'MD5Checksum': 'md5_checksum', 'Length': 'length', 'Uri': 'uri'}
11/05 10:59:40 [DEBUG] [25572] [COMPS.Data.SerializableEntity] AssetCollection --> {'Id': 'id', 'DateCreated': 'date_created', 'Tags': 'tags', 'Assets': 'assets'}
11/05 10:59:40 [DEBUG] [25572] [COMPS.Data.SerializableEntity] Configuration --> {'EnvironmentName': 'environment_name', 'SimulationInputArgs': 'simulation_input_args', 'WorkingDirectoryRoot': 'working_directory_root', 'ExecutablePath': 'executable_path', 'NodeGroupName': 'node_group_name', 'MaximumNumberOfRetries': 'maximum_number_of_retries', 'Priority': 'priority', 'MinCores': 'min_cores', 'MaxCores': 'max_cores', 'Exclusive': 'exclusive', 'AssetCollectionId': 'asset_collection_id'}
11/05 10:59:40 [DEBUG] [25572] [COMPS.Data.SerializableEntity] SimulationFile --> {'FileType': 'file_type', 'Description': 'description', 'FileName': 'file_name', 'MD5Checksum': 'md5_checksum', 'Length': 'length', 'Uri': 'uri'}
11/05 10:59:40 [DEBUG] [25572] [COMPS.Data.SerializableEntity] WorkItemFile --> {'FileType': 'file_type', 'Description': 'description', 'FileName': 'file_name', 'MD5Checksum': 'md5_checksum', 'Length': 'length', 'Uri': 'uri'}
11/05 10:59:40 [DEBUG] [25572] [COMPS.Data.SerializableEntity] HpcJob --> {'Id': '_internal_id', 'JobId': 'job_id', 'JobState': 'job_state', 'Priority': 'priority', 'WorkingDirectory': 'working_directory', 'OutputDirectorySize': 'output_directory_size', 'SubmitTime': 'submit_time', 'StartTime': 'start_time', 'EndTime': 'end_time', 'ErrorMessage': 'error_message', 'Configuration': 'configuration'}
11/05 10:59:40 [DEBUG] [25572] [COMPS.Data.SerializableEntity] Simulation --> {'Id': 'id', 'ExperimentId': 'experiment_id', 'Name': 'name', 'Description': 'description', 'Owner': 'owner', 'DateCreated': 'date_created', 'LastModified': 'last_modified', 'SimulationState': 'state', 'ErrorMessage': 'error_message', 'Tags': 'tags', 'Configuration': 'configuration', 'Files': 'files', 'HPCJobs': 'hpc_jobs'}
11/05 10:59:40 [DEBUG] [25572] [COMPS.Data.SerializableEntity] Experiment --> {'Id': 'id', 'SuiteId': 'suite_id', 'Name': 'name', 'Description': 'description', 'Owner': 'owner', 'DateCreated': 'date_created', 'LastModified': 'last_modified', 'Tags': 'tags', 'Configuration': 'configuration'}
11/05 10:59:40 [DEBUG] [25572] [COMPS.Data.SerializableEntity] Suite --> {'Id': 'id', 'Name': 'name', 'Description': 'description', 'Owner': 'owner', 'DateCreated': 'date_created', 'LastModified': 'last_modified', 'Tags': 'tags', 'Configuration': 'configuration'}
11/05 10:59:40 [DEBUG] [25572] [COMPS.Data.SerializableEntity] WorkItem --> {'Id': 'id', 'Name': 'name', 'Worker': 'worker', 'EnvironmentName': 'environment_name', 'Description': 'description', 'Owner': 'owner', 'DateCreated': 'date_created', 'LastModified': 'last_modified', 'State': 'state', 'ErrorMessage': 'error_message', 'HostName': 'host_name', 'WorkerInstanceId': 'worker_instance_id', 'WorkItemPriority': 'priority', 'WorkingDirectory': 'working_directory', 'WorkingDirectorySize': 'working_directory_size', 'AssetCollectionId': 'asset_collection_id', 'Tags': 'tags', 'Files': 'files', 'Plugins': 'plugins'}
11/05 10:59:41 [DEBUG] [25572] [COMPS.Client] Parsed login host: ('https', 'comps.idmod.org', None)
11/05 10:59:41 [DEBUG] [25572] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations/9dff0748-56ff-e911-a2c3-c4346bcb1551 {'count': 100000}
11/05 10:59:42 [DEBUG] [25572] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Experiments/9be99541-56ff-e911-a2c3-c4346bcb1551 {'children': 'Tags'}
11/05 10:59:42 [DEBUG] [25572] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'filters': 'ExperimentId=9be99541-56ff-e911-a2c3-c4346bcb1551', 'count': 100000}
11/05 10:59:43 [DEBUG] [25572] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/asset/Simulations/9dff0748-56ff-e911-a2c3-c4346bcb1551/Output {'flatten': 1}
11/05 10:59:43 [DEBUG] [25572] [COMPS.Data.AssetManager] adding [output/DemographicsSummary.json -> DemographicsSummary.json] to map
11/05 10:59:43 [DEBUG] [25572] [COMPS.Data.AssetManager] adding [output/BinnedReport.json -> BinnedReport.json] to map
11/05 10:59:43 [DEBUG] [25572] [COMPS.Data.AssetManager] adding [output/MalariaSummaryReport_Monthly_Report.json -> MalariaSummaryReport_Monthly_Report.json] to map
11/05 10:59:43 [DEBUG] [25572] [COMPS.Data.AssetManager] adding [output/InsetChart.json -> InsetChart.json] to map
11/05 10:59:43 [DEBUG] [25572] [COMPS.Data.AssetManager] adding [campaign.json -> campaign.json] to map
11/05 10:59:43 [DEBUG] [25572] [COMPS.Data.AssetManager] adding [config.json -> config.json] to map
11/05 10:59:43 [DEBUG] [25572] [COMPS.Data.AssetManager] adding [StdErr.txt -> StdErr.txt] to map
11/05 10:59:43 [DEBUG] [25572] [COMPS.Data.AssetManager] adding [emodules_map.json -> emodules_map.json] to map
11/05 10:59:43 [DEBUG] [25572] [COMPS.Data.AssetManager] adding [StdOut.txt -> StdOut.txt] to map
11/05 10:59:43 [DEBUG] [25572] [COMPS.Data.AssetManager] adding [custom_reports.json -> custom_reports.json] to map
11/05 10:59:43 [DEBUG] [25572] [COMPS.Data.AssetManager] adding [status.txt -> status.txt] to map
11/05 10:59:43 [DEBUG] [25572] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/asset/download/D-ACAwBktT7GNa.992eXyb3rafEp2aBO4H8.V.TiaLI_/UmVzZXJ2ZWRGb3JGdXR1cmVVc2U_/XFxpbnRlcm5hbC5pZG0uY3RyXElETVxIb21lXGpvcnVzc2VsbFxvdXRwdXRcYWRkSW5wdXRFSVJfU3VndW5ndW1fQ2FsaWJfZnJlZV9JTV8yMDE5MTEwNF8yMjU1NTRcMTRmXGNmZlw1MzVcMTRmY2ZmNTMtNTZmZi1lOTExLWEyYzMtYzQzNDZiY2IxNTUxXG91dHB1dFxNYWxhcmlhU3VtbWFyeVJlcG9ydF9Nb250aGx5X1JlcG9ydC5qc29u/MalariaSummar11/05 10:59:43 [DEBUG] [8096]11/05 10:59:44 [DEBUG] [25572] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/asset/Simulations/9eff0748-56ff-e911-a2c3-c4346bcb1551/Output {'flatten': 1}
11/05 10:59:44 [DEBUG] [25572] [COMPS.Data.AssetManager] adding [output/DemographicsSummary.json -> DemographicsSummary.json] to map
11/05 10:59:44 [DEBUG] [25572] [COMPS.Data.AssetManager] adding [output/BinnedReport.json -> BinnedReport.json] to map
11/05 10:59:44 [DEBUG] [25572] [COMPS.Data.AssetManager] adding [output/MalariaSummaryReport_Monthly_Report.json -> MalariaSummaryReport_Monthly_Report.json] to map
11/05 10:59:44 [DEBUG] [25572] [COMPS.Data.AssetManager] adding [output/InsetChart.json -> InsetChart.json] to map
11/05 10:59:44 [DEBUG] [25572] [COMPS.Data.AssetManager] adding [campaign.json -> campaign.json] to map
11/05 10:59:44 [DEBUG] [25572] [COMPS.Data.AssetManager] adding [config.json -> config.json] to map
11/05 10:59:44 [DEBUG] [25572] [COMPS.Data.AssetManager] adding [StdErr.txt -> StdErr.txt] to map
11/05 10:59:44 [DEBUG] [25572] [COMPS.Data.AssetManager] adding [emodules_map.json -> emodules_map.json] to map
11/05 10:59:44 [DEBUG] [25572] [COMPS.Data.AssetManager] adding [StdOut.txt -> StdOut.txt] to map
11/05 10:59:44 [DEBUG] [25572] [COMPS.Data.AssetManager] adding [custom_reports.json -> custom_reports.json] to map
11/05 10:59:44 [DEBUG] [25572] [COMPS.Data.AssetManager] adding [status.txt -> status.txt] to map
